item_id,channel,data,date_created
013a4e69-3d86-4c78-94c9-b3c7bca09683,linkedin,"{""key"":""ce47f2fe-4e29-4888-a945-0b95a1ae1359"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""linkedinPost"":{""uniqueImpressions"":8,""shares"":0,""engagement"":0,""clicks"":0,""likes"":0,""impression"":14,""comments"":0},""publishedDate"":""2026-01-15T15:01:56.105Z""}",2026-02-11 09:17:58.747000
27304f8b-6fe8-4099-af1d-5f12d6f78cbb,pinterest,"{""key"":""5573bee2-a8cd-4384-9af4-b79f11aa7a7a"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""pinterestPost"":{""impressions"":0,""saves"":0,""clicks"":0,""comments"":0,""reactions"":0},""publishedDate"":""2026-01-15T20:00:28.668Z""}",2026-02-11 09:17:58.747000
502f1f9a-46ef-4c4a-93a3-567e497a0832,linkedin,"{""key"":""e6d8609a-82d8-4bb3-a232-8a91f1060e9f"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""linkedinPost"":{""uniqueImpressions"":6,""shares"":0,""engagement"":0.09090909090909091,""clicks"":0,""likes"":1,""impression"":11,""comments"":0},""publishedDate"":""2026-01-15T15:03:11.715Z""}",2026-02-11 09:17:58.747000
71428e9f-58dd-410c-a916-b7c30ae62451,facebook,"{""key"":""ae50fc1e-5fca-4924-b9af-87bcd3162711"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""fbPost"":{""reactions"":{""like"":1,""love"":3},""activity"":{""like"":4},""impressions"":{""total"":119,""unique"":81}},""publishedDate"":""2026-01-15T15:02:22.300Z""}",2026-02-11 09:17:58.747000
4560a810-a809-4258-be99-a148801a8264,linkedin,"{""key"":""44ff7500-6876-4972-b5c9-f5e775491c9c"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""linkedinPost"":{""uniqueImpressions"":10,""shares"":0,""engagement"":0.05,""clicks"":0,""likes"":1,""impression"":20,""comments"":0},""publishedDate"":""2026-01-15T20:01:20.058Z""}",2026-02-11 09:17:58.747000
ca2dde11-9ca1-4c49-974b-418f3ebd52b6,instagram,"{""key"":""c799fa46-5f9d-4859-a204-006d2d74631e"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""igPost"":{""likes"":4,""views"":325,""reach"":116,""comments"":0,""shares"":0,""saved"":0,""totalInteractions"":4},""publishedDate"":""2026-01-15T15:02:07.340Z""}",2026-02-11 09:17:58.747000
7ec70e7d-31fa-4bf5-bb20-c0d6126918f9,instagram,"{""key"":""f0141083-fc09-47d2-b8f8-39d763c209b3"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""igPost"":{""likes"":6,""views"":467,""reach"":154,""comments"":0,""shares"":0,""saved"":0,""totalInteractions"":6},""publishedDate"":""2026-01-16T01:01:10.247Z""}",2026-02-11 09:17:58.746000
3c43c7ce-d171-425b-bb12-3b3327999034,linkedin,"{""key"":""f0cfa1d7-839a-433b-8ff5-82056cafc58a"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""linkedinPost"":{""uniqueImpressions"":11,""shares"":0,""engagement"":0.09090909090909091,""clicks"":0,""likes"":1,""impression"":11,""comments"":0},""publishedDate"":""2026-01-31T01:00:41.664Z""}",2026-02-11 09:17:58.746000
5a764549-4483-4f3b-8f68-4514080bf86d,pinterest,"{""key"":""3aa9463c-8b70-43ed-ad17-d163db96eee3"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""pinterestPost"":{""impressions"":0,""saves"":0,""clicks"":0,""comments"":0,""reactions"":0},""publishedDate"":""2026-01-30T15:01:44.591Z""}",2026-02-11 09:17:58.746000
3fbb003b-84a7-4b99-82f5-6374942239f9,facebook,"{""key"":""f89fb8b6-f1a7-4b14-9ccb-21642785ea80"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""fbPost"":{""reactions"":{""like"":3,""wow"":1},""activity"":{""share"":1,""like"":4},""impressions"":{""total"":267,""unique"":148}},""publishedDate"":""2026-01-30T15:02:30.661Z""}",2026-02-11 09:17:58.746000
